"Plot-Titel: KLG"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 21309858, SEN S/N: 21309858, LBL: °C)","Intensität, Lux (LGR S/N: 21309858, SEN S/N: 21309858, LBL: Lux)"
166,08.02.22 01:23:41 PM,30.760,30311.3
167,08.02.22 02:23:41 PM,32.394,28933.5
168,08.02.22 03:23:41 PM,33.118,24800.2
169,08.02.22 04:23:41 PM,33.535,23422.4
170,08.02.22 05:23:41 PM,33.118,20666.8
171,08.02.22 06:23:41 PM,29.853,11022.3
172,08.02.22 07:23:41 PM,28.456,6200.0
173,08.02.22 08:23:41 PM,26.292,1808.3
174,08.02.22 09:23:41 PM,24.641,10.8
175,08.02.22 10:23:41 PM,23.581,0.0
176,08.02.22 11:23:41 PM,22.717,0.0
177,08.03.22 12:23:41 AM,22.238,0.0
178,08.03.22 01:23:41 AM,21.473,0.0
179,08.03.22 02:23:41 AM,21.187,0.0
180,08.03.22 03:23:41 AM,20.710,0.0
181,08.03.22 04:23:41 AM,20.901,0.0
182,08.03.22 05:23:41 AM,20.710,86.1
183,08.03.22 06:23:41 AM,22.908,22044.6
184,08.03.22 07:23:41 AM,28.060,34444.7
185,08.03.22 08:23:41 AM,30.659,41333.6
186,08.03.22 09:23:41 AM,33.014,41333.6
187,08.03.22 10:23:41 AM,34.585,38578.0
188,08.03.22 11:23:41 AM,35.115,34444.7
189,08.03.22 12:23:41 PM,35.328,30311.3
190,08.03.22 01:23:41 PM,36.187,26178.0
191,08.03.22 02:23:41 PM,37.604,28933.5
192,08.03.22 03:23:41 PM,38.157,26178.0
193,08.03.22 04:23:41 PM,39.615,26178.0
194,08.03.22 05:23:41 PM,38.714,23422.4
195,08.03.22 06:23:41 PM,39.615,24800.2
196,08.03.22 07:23:41 PM,37.165,15844.5
197,08.03.22 08:23:41 PM,32.086,1216.3
198,08.03.22 09:23:41 PM,29.953,10.8
199,08.03.22 10:23:41 PM,28.853,0.0
200,08.03.22 11:23:41 PM,27.173,0.0
201,08.04.22 12:23:41 AM,26.488,0.0
202,08.04.22 01:23:41 AM,25.708,0.0
203,08.04.22 02:23:41 AM,24.835,0.0
204,08.04.22 03:23:41 AM,23.966,0.0
205,08.04.22 04:23:41 AM,23.100,0.0
206,08.04.22 05:23:41 AM,22.046,161.5
207,08.04.22 06:23:41 AM,24.738,21355.7
208,08.04.22 07:23:41 AM,28.655,35822.5
209,08.04.22 08:23:41 AM,31.983,41333.6
210,08.04.22 09:23:41 AM,35.542,42711.4
211,08.04.22 10:23:41 AM,37.055,38578.0
212,08.04.22 11:23:41 AM,37.604,34444.7
213,08.04.22 12:23:41 PM,38.490,30311.3
214,08.04.22 01:23:41 PM,40.185,30311.3
215,08.04.22 02:23:41 PM,40.876,28933.5
216,08.04.22 03:23:41 PM,39.957,21355.7
217,08.04.22 04:23:41 PM,41.341,27555.7
218,08.04.22 05:23:41 PM,41.810,26178.0
219,08.04.22 06:23:41 PM,40.645,21355.7
220,08.04.22 07:23:41 PM,39.163,15155.7
221,08.04.22 08:23:41 PM,34.796,1087.2
222,08.04.22 09:23:41 PM,32.188,0.0
223,08.04.22 10:23:41 PM,30.457,0.0
224,08.04.22 11:23:41 PM,29.652,0.0
225,08.05.22 12:23:41 AM,29.252,0.0
226,08.05.22 01:23:41 AM,27.665,0.0
227,08.05.22 02:23:41 AM,26.195,0.0
228,08.05.22 03:23:41 AM,25.416,0.0
229,08.05.22 04:23:41 AM,24.351,0.0
