"Plot-Titel: GAS_TS_2"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 21309864, SEN S/N: 21309864)","Intensität, Lux (LGR S/N: 21309864, SEN S/N: 21309864)"
211,06.18.22 07:09:09 PM,33.326,6200.0
212,06.18.22 07:39:09 PM,32.497,5338.9
213,06.18.22 08:09:09 PM,31.268,2927.8
214,06.18.22 08:39:09 PM,29.953,1065.6
215,06.18.22 09:09:09 PM,28.357,581.3
216,06.18.22 09:39:09 PM,27.173,75.3
217,06.18.22 10:09:09 PM,26.000,0.0
218,06.18.22 10:39:09 PM,25.125,0.0
219,06.18.22 11:09:09 PM,25.125,0.0
220,06.18.22 11:39:09 PM,23.869,0.0
221,06.19.22 12:09:09 AM,23.581,0.0
222,06.19.22 12:39:09 AM,23.292,0.0
223,06.19.22 01:09:09 AM,22.525,0.0
224,06.19.22 01:39:09 AM,22.046,0.0
225,06.19.22 02:09:09 AM,21.473,0.0
226,06.19.22 02:39:09 AM,21.187,0.0
227,06.19.22 03:09:09 AM,21.091,0.0
228,06.19.22 03:39:09 AM,20.710,0.0
229,06.19.22 04:09:09 AM,20.138,0.0
230,06.19.22 04:39:09 AM,20.329,96.9
231,06.19.22 05:09:09 AM,20.710,656.6
232,06.19.22 05:39:09 AM,20.996,1808.3
233,06.19.22 06:09:09 AM,21.378,3272.2
234,06.19.22 06:39:09 AM,22.333,4994.5
235,06.19.22 07:09:09 AM,23.773,11711.2
236,06.19.22 07:39:09 AM,26.683,18600.1
237,06.19.22 08:09:09 AM,29.152,23422.4
238,06.19.22 08:39:09 AM,30.963,26178.0
239,06.19.22 09:09:09 AM,33.014,28933.5
240,06.19.22 09:39:09 AM,34.163,31689.1
241,06.19.22 10:09:09 AM,37.165,33066.9
242,06.19.22 10:39:09 AM,37.274,34444.7
243,06.19.22 11:09:09 AM,38.714,34444.7
244,06.19.22 11:39:09 AM,38.490,34444.7
245,06.19.22 12:09:09 PM,39.163,34444.7
246,06.19.22 12:39:09 PM,39.502,34444.7
247,06.19.22 01:09:09 PM,40.185,33066.9
248,06.19.22 01:39:09 PM,41.108,31689.1
249,06.19.22 02:09:09 PM,39.843,33066.9
250,06.19.22 02:39:09 PM,37.384,34444.7
251,06.19.22 03:09:09 PM,35.009,21355.7
252,06.19.22 03:39:09 PM,35.542,26178.0
253,06.19.22 04:09:09 PM,32.394,11711.2
254,06.19.22 04:39:09 PM,30.255,8266.7
255,06.19.22 05:09:09 PM,29.452,6200.0
256,06.19.22 05:39:09 PM,28.555,5511.1
257,06.19.22 06:09:09 PM,27.862,5166.7
258,06.19.22 06:39:09 PM,27.173,4477.8
259,06.19.22 07:09:09 PM,26.195,4477.8
260,06.19.22 07:39:09 PM,25.222,6200.0
261,06.19.22 08:09:09 PM,23.677,5166.7
262,06.19.22 08:39:09 PM,22.046,1636.1
263,06.19.22 09:09:09 PM,20.519,861.1
264,06.19.22 09:39:09 PM,19.187,86.1
265,06.19.22 10:09:09 PM,17.950,0.0
266,06.19.22 10:39:09 PM,17.379,0.0
267,06.19.22 11:09:09 PM,16.618,0.0
268,06.19.22 11:39:09 PM,15.951,0.0
269,06.20.22 12:09:09 AM,16.046,0.0
270,06.20.22 12:39:09 AM,15.664,0.0
271,06.20.22 01:09:09 AM,15.664,0.0
272,06.20.22 01:39:09 AM,15.091,0.0
273,06.20.22 02:09:09 AM,14.996,0.0
274,06.20.22 02:39:09 AM,14.804,0.0
275,06.20.22 03:09:09 AM,14.709,0.0
276,06.20.22 03:39:09 AM,14.038,0.0
277,06.20.22 04:09:09 AM,14.134,0.0
278,06.20.22 04:39:09 AM,14.134,32.3
279,06.20.22 05:09:09 AM,14.134,376.7
280,06.20.22 05:39:09 AM,14.325,882.6
281,06.20.22 06:09:09 AM,14.709,2152.8
282,06.20.22 06:39:09 AM,16.046,5166.7
283,06.20.22 07:09:09 AM,14.709,796.5
284,06.20.22 07:39:09 AM,13.654,43.1
285,06.20.22 08:09:09 AM,13.461,43.1
286,06.20.22 08:39:09 AM,13.846,3444.5
287,06.20.22 09:09:09 AM,15.473,6544.5
288,06.20.22 09:39:09 AM,14.613,4650.0
289,06.20.22 10:09:09 AM,14.517,3272.2
290,06.20.22 10:39:09 AM,15.760,4133.4
291,06.20.22 11:09:09 AM,14.900,2755.6
292,06.20.22 11:39:09 AM,15.951,5511.1
293,06.20.22 12:09:09 PM,15.473,1550.0
294,06.20.22 12:39:09 PM,15.378,5166.7
295,06.20.22 01:09:09 PM,14.996,2755.6
296,06.20.22 01:39:09 PM,14.900,3788.9
297,06.20.22 02:09:09 PM,14.709,3272.2
298,06.20.22 02:39:09 PM,15.378,6200.0
299,06.20.22 03:09:09 PM,15.855,6544.5
300,06.20.22 03:39:09 PM,16.237,10333.4
301,06.20.22 04:09:09 PM,16.332,7577.8
302,06.20.22 04:39:09 PM,18.426,14466.8
303,06.20.22 05:09:09 PM,19.567,12400.1
304,06.20.22 05:39:09 PM,19.662,7577.8
305,06.20.22 06:09:09 PM,20.043,10677.8
306,06.20.22 06:39:09 PM,20.710,15844.5
307,06.20.22 07:09:09 PM,18.426,2325.0
308,06.20.22 07:39:09 PM,17.284,1550.0
309,06.20.22 08:09:09 PM,16.427,742.7
310,06.20.22 08:39:09 PM,14.517,4822.3
311,06.20.22 09:09:09 PM,14.230,1097.9
312,06.20.22 09:39:09 PM,13.076,129.2
313,06.20.22 10:09:09 PM,13.654,0.0
314,06.20.22 10:39:09 PM,13.365,0.0
315,06.20.22 11:09:09 PM,13.558,0.0
316,06.20.22 11:39:09 PM,13.173,0.0
317,06.21.22 12:09:09 AM,12.110,0.0
318,06.21.22 12:39:09 AM,11.625,0.0
319,06.21.22 01:09:09 AM,11.431,0.0
320,06.21.22 01:39:09 AM,11.139,0.0
321,06.21.22 02:09:09 AM,10.748,0.0
322,06.21.22 02:39:09 AM,10.846,0.0
323,06.21.22 03:09:09 AM,10.748,0.0
324,06.21.22 03:39:09 AM,10.944,0.0
325,06.21.22 04:09:09 AM,10.944,0.0
326,06.21.22 04:39:09 AM,10.553,96.9
327,06.21.22 05:09:09 AM,10.455,430.6
328,06.21.22 05:39:09 AM,10.651,1205.6
329,06.21.22 06:09:09 AM,11.236,1894.5
330,06.21.22 06:39:09 AM,12.110,2669.5
331,06.21.22 07:09:09 AM,12.690,4305.6
332,06.21.22 07:39:09 AM,14.230,5511.1
333,06.21.22 08:09:09 AM,16.618,28933.5
334,06.21.22 08:39:09 AM,20.138,33066.9
335,06.21.22 09:09:09 AM,21.951,33066.9
336,06.21.22 09:39:09 AM,22.525,34444.7
337,06.21.22 10:09:09 AM,24.158,34444.7
338,06.21.22 10:39:09 AM,24.835,34444.7
339,06.21.22 11:09:09 AM,25.319,34444.7
340,06.21.22 11:39:09 AM,26.195,34444.7
341,06.21.22 12:09:09 PM,26.683,34444.7
342,06.21.22 12:39:09 PM,27.173,33066.9
