"Plot-Titel: VG"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 21309856, SEN S/N: 21309856, LBL: Celsius)","Intensität, Lux (LGR S/N: 21309856, SEN S/N: 21309856, LBL: Lux)"
217,04.20.22 12:07:44 PM,10.748,6200.0
218,04.20.22 01:07:44 PM,10.846,5511.1
219,04.20.22 02:07:44 PM,13.173,12400.1
220,04.20.22 03:07:44 PM,15.378,16533.4
221,04.20.22 04:07:44 PM,15.378,18600.1
222,04.20.22 05:07:44 PM,15.951,5511.1
223,04.20.22 06:07:44 PM,14.709,2325.0
224,04.20.22 07:07:44 PM,13.365,613.5
225,04.20.22 08:07:44 PM,12.401,64.6
226,04.20.22 09:07:44 PM,11.722,0.0
227,04.20.22 10:07:44 PM,10.748,0.0
228,04.20.22 11:07:44 PM,9.768,0.0
229,04.21.22 12:07:44 AM,9.176,0.0
230,04.21.22 01:07:44 AM,8.680,0.0
231,04.21.22 02:07:44 AM,8.282,0.0
232,04.21.22 03:07:44 AM,7.983,0.0
233,04.21.22 04:07:44 AM,7.481,0.0
234,04.21.22 05:07:44 AM,7.481,0.0
235,04.21.22 06:07:44 AM,7.381,43.1
236,04.21.22 07:07:44 AM,7.381,505.9
237,04.21.22 08:07:44 AM,7.782,1173.3
238,04.21.22 09:07:44 AM,9.176,4650.0
239,04.21.22 10:07:44 AM,9.571,2152.8
240,04.21.22 11:07:44 AM,10.944,5166.7
241,04.21.22 12:07:44 PM,11.916,3444.5
242,04.21.22 01:07:44 PM,12.110,6544.5
243,04.21.22 02:07:44 PM,12.690,3444.5
244,04.21.22 03:07:44 PM,12.690,3272.2
245,04.21.22 04:07:44 PM,12.013,3616.7
246,04.21.22 05:07:44 PM,12.013,2927.8
247,04.21.22 06:07:44 PM,12.594,4650.0
248,04.21.22 07:07:44 PM,12.690,1722.2
249,04.21.22 08:07:44 PM,12.013,86.1
250,04.21.22 09:07:44 PM,11.916,0.0
251,04.21.22 10:07:44 PM,11.625,0.0
252,04.21.22 11:07:44 PM,11.528,0.0
253,04.22.22 12:07:44 AM,11.334,0.0
254,04.22.22 01:07:44 AM,9.866,0.0
255,04.22.22 02:07:44 AM,8.182,0.0
256,04.22.22 03:07:44 AM,6.978,0.0
257,04.22.22 04:07:44 AM,6.064,0.0
258,04.22.22 05:07:44 AM,6.268,0.0
259,04.22.22 06:07:44 AM,5.962,495.1
260,04.22.22 07:07:44 AM,6.674,2927.8
261,04.22.22 08:07:44 AM,9.176,13777.9
262,04.22.22 09:07:44 AM,10.357,8266.7
263,04.22.22 10:07:44 AM,11.041,5166.7
264,04.22.22 11:07:44 AM,13.558,9644.5
265,04.22.22 12:07:44 PM,13.558,6200.0
266,04.22.22 01:07:44 PM,12.401,4133.4
267,04.22.22 02:07:44 PM,12.401,2152.8
268,04.22.22 03:07:44 PM,14.613,10677.8
269,04.22.22 04:07:44 PM,14.421,10333.4
270,04.22.22 05:07:44 PM,13.846,1980.6
271,04.22.22 06:07:44 PM,13.558,4133.4
272,04.22.22 07:07:44 PM,13.365,333.7
273,04.22.22 08:07:44 PM,12.690,96.9
274,04.22.22 09:07:44 PM,11.431,0.0
275,04.22.22 10:07:44 PM,10.553,0.0
276,04.22.22 11:07:44 PM,8.978,0.0
277,04.23.22 12:07:44 AM,8.481,0.0
278,04.23.22 01:07:44 AM,8.182,0.0
279,04.23.22 02:07:44 AM,7.682,0.0
280,04.23.22 03:07:44 AM,7.079,0.0
281,04.23.22 04:07:44 AM,6.573,0.0
282,04.23.22 05:07:44 AM,6.573,0.0
283,04.23.22 06:07:44 AM,5.757,678.1
284,04.23.22 07:07:44 AM,9.768,20666.8
285,04.23.22 08:07:44 AM,13.846,24800.2
286,04.23.22 09:07:44 AM,15.664,19977.9
287,04.23.22 10:07:44 AM,17.950,33066.9
288,04.23.22 11:07:44 AM,19.758,28933.5
289,04.23.22 12:07:44 PM,20.901,30311.3
290,04.23.22 01:07:44 PM,22.046,30311.3
291,04.23.22 02:07:44 PM,22.621,30311.3
292,04.23.22 03:07:44 PM,20.996,7577.8
293,04.23.22 04:07:44 PM,22.621,28933.5
294,04.23.22 05:07:44 PM,19.282,4650.0
295,04.23.22 06:07:44 PM,17.189,3616.7
296,04.23.22 07:07:44 PM,16.237,1550.0
297,04.23.22 08:07:44 PM,15.282,215.3
298,04.23.22 09:07:44 PM,13.365,0.0
299,04.23.22 10:07:44 PM,11.916,0.0
300,04.23.22 11:07:44 PM,10.944,0.0
301,04.24.22 12:07:44 AM,10.063,0.0
